,time,aug_factor,u00,u07,u10,u17,u34,u35,u47,u00,u07,u10,u17,u34,u35,u47,mse,entropy,model,feature num,random seed
19,1642474713,19,0.144827586,0.25,0.323943662,0.357142857,0.149253731,0.217391304,0.179104478,0,0,0,1,0,0,0,0.100470557,2.728472472,DNN,10,0
20,1642474732,20,0.144827586,0.192307692,0.23943662,0.242857143,0.074626866,0.15942029,0.059701493,0,0,0,1,0,0,0,0.103300106,2.6657556,DNN,10,0
21,1642474752,21,0.082758621,0.173076923,0.154929577,0.242857143,0.119402985,0.15942029,0.149253731,0,0,0,1,0,0,0,0.099431667,2.744494926,DNN,10,0
22,1642474772,22,0.2,0.442307692,0.38028169,0.485714286,0.432835821,0.420289855,0.373134328,0,0,0,1,0,0,0,0.163994242,2.768003861,DNN,10,0
23,1642474792,23,0.103448276,0.173076923,0.281690141,0.328571429,0.179104478,0.202898551,0.28358209,0,0,0,1,0,0,0,0.103498267,2.72541483,DNN,10,0
24,1642474812,24,0.165517241,0.346153846,0.323943662,0.628571429,0.164179104,0.246376812,0.313432836,0,0,0,1,0,0,0,0.082287654,2.664185031,DNN,10,0
25,1642474833,25,0.634482759,0.326923077,0.366197183,0.457142857,0.597014925,0.391304348,0.641791045,0,0,0,1,0,0,0,0.265668998,2.760249803,DNN,10,0
26,1642474853,26,0.137931034,0.211538462,0.211267606,0.357142857,0.253731343,0.246376812,0.164179104,0,0,0,1,0,0,0,0.096244101,2.748000884,DNN,10,0
,time,aug_factor,u00,u07,u10,u17,u34,u35,u47,u00,u07,u10,u17,u34,u35,u47,mse,entropy,model,feature num,random seed
0,1642475020,0,0.006896552,0,0,0.042857143,0,0.014492754,0.044776119,0,0,0,1,0,0,0,0.13119785,1.695722449,DNN,6,0
1,1642475034,1,0.055172414,0.115384615,0.084507042,0.171428571,0.014925373,0.115942029,0.044776119,0,0,0,1,0,0,0,0.103671411,2.554971715,DNN,6,0
2,1642475047,2,0.020689655,0,0.056338028,0.042857143,0.014925373,0.101449275,0.044776119,0,0,0,1,0,0,0,0.13317773,2.333386374,DNN,6,0
3,1642475062,3,0.04137931,0.057692308,0.042253521,0.085714286,0.014925373,0.144927536,0.029850746,0,0,0,1,0,0,0,0.123551743,2.504212807,DNN,6,0
4,1642475077,4,0.124137931,0.057692308,0.267605634,0.342857143,0.104477612,0.246376812,0.179104478,0,0,0,1,0,0,0,0.089411951,2.620647039,DNN,6,0
5,1642475092,5,0.096551724,0,0.070422535,0.071428571,0.089552239,0.173913043,0.089552239,0,0,0,1,0,0,0,0.131830203,2.504758132,DNN,6,0
6,1642475108,6,0.020689655,0.019230769,0.112676056,0.057142857,0.014925373,0.072463768,0.074626866,0,0,0,1,0,0,0,0.130502329,2.501316212,DNN,6,0
7,1642475123,7,0.172413793,0.192307692,0.253521127,0.385714286,0.194029851,0.391304348,0.313432836,0,0,0,1,0,0,0,0.113905069,2.736007446,DNN,6,0
8,1642475139,8,0.144827586,0.134615385,0.267605634,0.342857143,0.164179104,0.347826087,0.23880597,0,0,0,1,0,0,0,0.106787414,2.715208128,DNN,6,0
9,1642475155,9,0.062068966,0.019230769,0.098591549,0.242857143,0.029850746,0.130434783,0.074626866,0,0,0,1,0,0,0,0.087240207,2.433241074,DNN,6,0
10,1642475171,10,0.096551724,0.057692308,0.211267606,0.242857143,0.044776119,0.173913043,0.179104478,0,0,0,1,0,0,0,0.09926843,2.609516436,DNN,6,0
11,1642475188,11,0.020689655,0,0,0.128571429,0.029850746,0.043478261,0.089552239,0,0,0,1,0,0,0,0.110088121,2.023369451,DNN,6,0
12,1642475205,12,0.151724138,0.134615385,0.253521127,0.342857143,0.104477612,0.347826087,0.23880597,0,0,0,1,0,0,0,0.103739723,2.685896326,DNN,6,0
13,1642475223,13,0.227586207,0.153846154,0.267605634,0.4,0.223880597,0.405797101,0.388059701,0,0,0,1,0,0,0,0.124637291,2.731426201,DNN,6,0
14,1642475240,14,0.2,0.192307692,0.281690141,0.457142857,0.164179104,0.347826087,0.28358209,0,0,0,1,0,0,0,0.097054575,2.724507392,DNN,6,0
15,1642475258,15,0.275862069,0.230769231,0.309859155,0.528571429,0.23880597,0.47826087,0.417910448,0,0,0,1,0,0,0,0.129717544,2.737378059,DNN,6,0
16,1642475276,16,0.296551724,0.134615385,0.338028169,0.342857143,0.23880597,0.507246377,0.447761194,0,0,0,1,0,0,0,0.16671161,2.713235776,DNN,6,0
17,1642475295,17,0.282758621,0.192307692,0.338028169,0.414285714,0.134328358,0.565217391,0.358208955,0,0,0,1,0,0,0,0.148583917,2.685910907,DNN,6,0
18,1642475314,18,0.275862069,0.230769231,0.323943662,0.414285714,0.253731343,0.507246377,0.492537313,0,0,0,1,0,0,0,0.163089504,2.744390179,DNN,6,0
19,1642475333,19,0.213793103,0.115384615,0.295774648,0.342857143,0.208955224,0.405797101,0.358208955,0,0,0,1,0,0,0,0.130712529,2.716313402,DNN,6,0
20,1642475352,20,0.331034483,0.211538462,0.352112676,0.442857143,0.268656716,0.52173913,0.432835821,0,0,0,1,0,0,0,0.16006555,2.752530683,DNN,6,0
21,1642475372,21,0.296551724,0.230769231,0.338028169,0.414285714,0.223880597,0.608695652,0.462686567,0,0,0,1,0,0,0,0.176176201,2.722887342,DNN,6,0
22,1642475391,22,0.344827586,0.423076923,0.464788732,0.457142857,0.28358209,0.666666667,0.507462687,0,0,0,1,0,0,0,0.227286316,2.762044329,DNN,6,0
23,1642475411,23,0.675862069,0.538461538,0.450704225,0.471428571,0.895522388,0.550724638,0.835820896,0,0,0,1,0,0,0,0.433300995,2.760355484,DNN,6,0
24,1642475432,24,0.289655172,0.269230769,0.394366197,0.428571429,0.208955224,0.52173913,0.417910448,0,0,0,1,0,0,0,0.161280541,2.749599389,DNN,6,0
25,1642475452,25,0.737931034,0.519230769,0.436619718,0.542857143,0.910447761,0.695652174,0.925373134,0,0,0,1,0,0,0,0.483274526,2.758008043,DNN,6,0
26,1642475473,26,0.296551724,0.269230769,0.366197183,0.385714286,0.223880597,0.550724638,0.47761194,0,0,0,1,0,0,0,0.179058395,2.745856114,DNN,6,0
,time,aug_factor,u00,u07,u10,u17,u34,u35,u47,u00,u07,u10,u17,u34,u35,u47,mse,entropy,model,feature num,random seed
